Review,sentiment
"Keren, inovatif dan mudah. Dan semakin dipermudah oleh aplikasi ini sekarang dengan minimal sampah daur ulangnya 5kg kita sudah bisa order penjemputan sampahnya dan juga ada beberapa fitur lainnya. Maju terus dan update selalu agar bisa memberikan kenyamanan terus menerus untuk pelanggannya kak.",1
"Kalau saya membantu untuk sosialisasikan ke pekerja bersih-bersih, penjemput sampah dan masyakat lainnya, apa di bolehkan? Karena saya perhatikan dari isi aplikasikan cukup bagus dan bisa membantu mengurangi pemulung di luar sana, ide aplikasinya unik dan bagus.",1
Sy sudah pakai app. 2x & selama itu lancar tp kenapa saat pemakaian ketiga malah loading trus selama 2 hr ini saat mau order pick up padahal jaringan bagus & stabil. Sudah di tes dgn 3 hp tetap saja loading dlm proses kirim data pick up. Tolong perbaiki maintancenya.. kalau sudah bisa digunakan baru sy tambah bintangnya,-1
aplikasi ini kurang efektif masih banyaj mode yang kurang seperti tdk ada etimasi harga yang di berikan apabila kita sudah kalkulasikan beratnya.. selain itu apabila kita sudah menjual sampah dan mencari kuris samah tdk ada tanda batalnya dan jg pencariannya sangat lama..,-1
"Hari ini coba install 3 aplikasi daur ulang, 2 gagal login. Hanya MallSampah yg mulus sampai request pick up. Mantap, sampah bs dijemput tanpa minimal berat, cocok bgt utk rumah tangga yg ga bs banyak simpan sampah. Kalau lancar sampai proses pick up besok, ganti jd bintang lima.",1
"Aplikasi masih sangat lambat, tolong aplikasinya untuk lebih di upgrade. Dan sedikit saran kalau bisa sediakan kolom chating CS untuk berkonsultasi langsung agar menggampangkan pemakai aplikasi yang ingin bertanya tentang prosedur nya. Semoga aplikasinya lebih bermanfaat lagi bagi banyak orang orang.",0
"Aplikasi ini sangat bermanfaat. Karena selain mendjikan kita peduli dengan lingkungan karena kita memilah dan membuang sampah2 yang susah terurai, kita juga mampu menghasilkan uang dari sampah2 tersebut. Pkoknya keren!",1
"Mengapa tidak ada akses untuk daerah DKI Jakarta, Tolong akses untuk daerah Jakarta, saya yakin pasti akan sangat berguna, mungkin bisa mengurangi masyarakat membuang sampah sembarangan mungkin bagi mereka yg tau aplikasi ini akan lebih memilih tidak membuag sampah sembarangan, saya pun akan merekomendasikan pada teman dan kerabat saya. Jika akses dapat diperluas saya akan mulai mengumpulkan botol plastik ataupun semacamnya.",-1
"Aplikasi yang sangat bagus, namun kekurangannya masih ada sampah yang banyak di hasilkan namun tidak diterima contohnya botol-botol kaca, pada masa pandemi ini konsumsi vitamin c cair dalam kemasan botol-botol kaca meningkat namun tidak di terima di mallsampah. Namun terima kasih. Aplikasi ini sangat bagus. Ini hanyalah saran🙏",0
"Apk apaan ini diminta jemput barang tapi terlalu banyak alasan, bagi kalian yg rencana mau download apk ini gak usah di download takutnya nanti kecewa ki', soalnya servernya punya beribu alasan, kalau didalam aplikasi belum ada alasan yg dilontarkan tapi saat kita di WA, alasan sudah dilontarkan satu persatu. Percuma bikin apk kalau tidak ada gunanya jadi apk sampahji..",-1
